image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000280_00001_d_0000612,87,50-100,984,55,71,78,79,52,0,83,0,65,52,20,17,2,2
0000280_00201_d_0000613,47,<50,1000,35,41,45,47,37,0,64,0,21,16,24,23,2,2
0000280_00401_d_0000614,59,50-100,940,37,45,50,50,36,0,60,0,35,24,22,20,2,1
0000280_00601_d_0000615,74,50-100,989,43,48,54,54,26,0,53,0,57,37,15,10,2,1
0000280_00801_d_0000616,70,50-100,989,48,54,56,59,39,0,71,0,46,34,23,19,1,1
0000280_01001_d_0000617,125,100-150,921,52,66,76,79,42,0,73,0,102,46,21,18,2,2
0000280_01201_d_0000618,134,100-150,932,59,78,87,90,51,0,67,0,97,46,34,29,3,3
0000280_01401_d_0000619,110,100-150,992,62,80,84,90,56,0,91,0,73,51,33,25,4,4
0000280_01601_d_0000620,103,100-150,985,69,82,85,88,51,0,75,0,70,52,30,27,3,3
0000280_01801_d_0000621,90,50-100,700,50,63,66,67,41,0,60,0,72,46,16,15,2,2
